4Nr	t23	t12	tGF	tSTR	ModelType	Stat	P2P3_dxy.Outlier.Mean	P2P3_dxy.Outlier.SD	P2P3_dxy.Background.Mean	P2P3_dxy.Background.SD	P2P3_dxy.Significant	Outlier.Alternate.PC
0.01	1.4	1	0.2	NA	gene flow P2-P3	fG	0.0139486	0.0022747	0.0369391	0.0032205	TRUE	100
0.01	1.4	1	0.2	NA	gene flow P2-P3	fhom	0.0139486	0.0022747	0.0369391	0.0032205	TRUE	100
0.01	1.4	1	0.2	NA	gene flow P2-P3	Simulation	0.0139486	0.0022747	0.0369391	0.0032205	TRUE	NA
0.01	1.4	1	0.4	NA	gene flow P2-P3	D	0.0222636	0.0088528	0.0364289	0.0044115	TRUE	72.2
0.01	1.4	1	0.4	NA	gene flow P2-P3	fd	0.0177351	0.0028325	0.036932	0.0032377	TRUE	99.2
0.01	1.4	1	0.4	NA	gene flow P2-P3	fG	0.017724	0.0028024	0.0369333	0.0032333	TRUE	99.4
0.01	1.4	1	0.4	NA	gene flow P2-P3	fhom	0.0177289	0.0028145	0.0369327	0.0032353	TRUE	99.3
0.01	1.4	1	0.4	NA	gene flow P2-P3	Simulation	0.0176712	0.0025617	0.0369391	0.0032205	TRUE	NA
0.01	1.4	1	0.6	NA	gene flow P2-P3	D	0.0273434	0.008037	0.0363056	0.0044014	TRUE	56.4
0.01	1.4	1	0.6	NA	gene flow P2-P3	fd	0.0222332	0.0041071	0.0368734	0.0033567	TRUE	94.4
0.01	1.4	1	0.6	NA	gene flow P2-P3	fG	0.0221014	0.0038315	0.0368881	0.0033286	TRUE	95.1
0.01	1.4	1	0.6	NA	gene flow P2-P3	fhom	0.0221065	0.0038555	0.0368875	0.003328	TRUE	95.1
0.01	1.4	1	0.6	NA	gene flow P2-P3	Simulation	0.0216419	0.0026865	0.0369391	0.0032205	TRUE	NA
0.01	1.4	1	0.8	NA	gene flow P2-P3	D	0.0326006	0.006107	0.03616	0.004325	TRUE	28.6
0.01	1.4	1	0.8	NA	gene flow P2-P3	fd	0.0282533	0.0056302	0.036643	0.0036816	TRUE	68.6
0.01	1.4	1	0.8	NA	gene flow P2-P3	fG	0.0279548	0.0053964	0.0366762	0.0036432	TRUE	71.5
0.01	1.4	1	0.8	NA	gene flow P2-P3	fhom	0.0279776	0.0054253	0.0366737	0.0036445	TRUE	71.4
0.01	1.4	1	0.8	NA	gene flow P2-P3	Simulation	0.0255884	0.0027764	0.0369391	0.0032205	TRUE	NA
0.01	1.4	1	0.2	NA	gene flow P3-P2	D	0.0153258	0.0065526	0.0367567	0.0037835	TRUE	91.4
0.01	1.4	1	0.2	NA	gene flow P3-P2	fd	0.0136835	0.0022356	0.0369391	0.0032205	TRUE	100
0.01	1.4	1	0.2	NA	gene flow P3-P2	fG	0.0136835	0.0022356	0.0369391	0.0032205	TRUE	100
0.01	1.4	1	0.2	NA	gene flow P3-P2	fhom	0.0136835	0.0022356	0.0369391	0.0032205	TRUE	100
0.01	1.4	1	0.2	NA	gene flow P3-P2	Simulation	0.0136835	0.0022356	0.0369391	0.0032205	TRUE	NA
0.01	1.4	1	0.4	NA	gene flow P3-P2	D	0.0196211	0.0065718	0.0367248	0.0037551	TRUE	87.8
0.01	1.4	1	0.4	NA	gene flow P3-P2	fd	0.0176919	0.0025658	0.0369391	0.0032205	TRUE	100
0.01	1.4	1	0.4	NA	gene flow P3-P2	fG	0.0176919	0.0025658	0.0369391	0.0032205	TRUE	100
0.01	1.4	1	0.4	NA	gene flow P3-P2	fhom	0.0176919	0.0025658	0.0369391	0.0032205	TRUE	100
0.01	1.4	1	0.4	NA	gene flow P3-P2	Simulation	0.0176919	0.0025658	0.0369391	0.0032205	TRUE	NA
0.01	1.4	1	0.6	NA	gene flow P3-P2	D	0.0238152	0.0064776	0.036673	0.003757	TRUE	80.8
0.01	1.4	1	0.6	NA	gene flow P3-P2	fd	0.0214323	0.0027973	0.0369378	0.0032239	TRUE	99.8
0.01	1.4	1	0.6	NA	gene flow P3-P2	fG	0.0214316	0.002793	0.0369378	0.0032239	TRUE	99.8
0.01	1.4	1	0.6	NA	gene flow P3-P2	fhom	0.0214316	0.002793	0.0369378	0.0032239	TRUE	99.8
0.01	1.4	1	0.6	NA	gene flow P3-P2	Simulation	0.02142	0.002764	0.0369391	0.0032205	TRUE	NA
0.01	1.4	1	0.8	NA	gene flow P3-P2	D	0.0281074	0.0058661	0.0366447	0.0036531	TRUE	69.7
0.01	1.4	1	0.8	NA	gene flow P3-P2	fd	0.0255851	0.0031413	0.0369249	0.0032401	TRUE	97.6
0.01	1.4	1	0.8	NA	gene flow P3-P2	fG	0.025571	0.0031072	0.0369265	0.0032383	TRUE	97.8
0.01	1.4	1	0.8	NA	gene flow P3-P2	fhom	0.0255701	0.0031063	0.0369266	0.003238	TRUE	97.8
0.01	1.4	1	0.8	NA	gene flow P3-P2	Simulation	0.0254574	0.0028445	0.0369391	0.0032205	TRUE	NA
0.01	1.4	1	NA	1.6	Ancestral structure	D	0.0357642	0.0031248	0.0370447	0.0032037	TRUE	29.8
0.01	1.4	1	NA	1.6	Ancestral structure	fd	0.0356883	0.0030439	0.0370531	0.0032089	TRUE	56.9
0.01	1.4	1	NA	1.6	Ancestral structure	fG	0.0356338	0.0030508	0.0370592	0.0032055	TRUE	60.1
0.01	1.4	1	NA	1.6	Ancestral structure	fhom	0.0356483	0.0030562	0.0370576	0.0032056	TRUE	60
0.01	1.4	1	NA	1.6	Ancestral structure	Simulation	0.0367144	0.0031974	0.0369391	0.0032205	FALSE	NA
0.01	1.4	1	NA	1.8	Ancestral structure	D	0.0358247	0.0029976	0.0370549	0.0032172	TRUE	49.7
0.01	1.4	1	NA	1.8	Ancestral structure	fd	0.0360987	0.0029727	0.0370245	0.0032299	TRUE	80.3
0.01	1.4	1	NA	1.8	Ancestral structure	fG	0.0360777	0.0029792	0.0370268	0.0032285	TRUE	82.2
0.01	1.4	1	NA	1.8	Ancestral structure	fhom	0.0361187	0.0029733	0.0370223	0.0032305	TRUE	82.6
0.01	1.4	1	NA	1.8	Ancestral structure	Simulation	0.036867	0.0031859	0.0369391	0.0032205	FALSE	NA
0.01	1.4	1	NA	2	Ancestral structure	D	0.0359395	0.0029459	0.0370234	0.0032197	TRUE	67.3
0.01	1.4	1	NA	2	Ancestral structure	fd	0.036458	0.0030241	0.0369658	0.0032259	TRUE	95
0.01	1.4	1	NA	2	Ancestral structure	fG	0.0364863	0.0030671	0.0369626	0.0032218	TRUE	95.9
0.01	1.4	1	NA	2	Ancestral structure	fhom	0.0364999	0.0030696	0.0369611	0.0032218	TRUE	96.1
0.01	1.4	1	NA	2	Ancestral structure	Simulation	0.0366979	0.0031042	0.0369391	0.0032205	FALSE	NA
0.01	1.4	1	NA	NA	Null model	D	0.0360105	0.0031847	0.0370497	0.0032162	TRUE	NA
0.01	1.4	1	NA	NA	Null model	fd	0.0359602	0.0031316	0.0370553	0.0032201	TRUE	NA
0.01	1.4	1	NA	NA	Null model	fG	0.0358569	0.0031291	0.0370668	0.0032163	TRUE	NA
0.01	1.4	1	NA	NA	Null model	fhom	0.0358495	0.0031252	0.0370676	0.0032164	TRUE	NA
0.01	1.4	1	NA	NA	Null model	Simulation	NA	NA	NA	NA	NA	NA
0.01	1.4	1.2	0.2	NA	gene flow P2-P3	D	0.0152414	0.0061049	0.0368079	0.003716	TRUE	92.6
0.01	1.4	1.2	0.2	NA	gene flow P2-P3	fd	0.0138322	0.0022248	0.0369644	0.0032245	TRUE	100
0.01	1.4	1.2	0.2	NA	gene flow P2-P3	fG	0.0138322	0.0022248	0.0369644	0.0032245	TRUE	100
0.01	1.4	1.2	0.2	NA	gene flow P2-P3	fhom	0.0138322	0.0022248	0.0369644	0.0032245	TRUE	100
0.01	1.4	1.2	0.2	NA	gene flow P2-P3	Simulation	0.0138322	0.0022248	0.0369644	0.0032245	TRUE	NA
0.01	1.4	1.2	0.4	NA	gene flow P2-P3	D	0.0197338	0.0065444	0.0367429	0.0037909	TRUE	87
0.01	1.4	1.2	0.4	NA	gene flow P2-P3	fd	0.0177538	0.0025564	0.0369629	0.0032297	TRUE	99.9
0.01	1.4	1.2	0.4	NA	gene flow P2-P3	fG	0.0177538	0.0025564	0.0369629	0.0032297	TRUE	99.9
0.01	1.4	1.2	0.4	NA	gene flow P2-P3	fhom	0.0177538	0.0025564	0.0369629	0.0032297	TRUE	99.9
0.01	1.4	1.2	0.4	NA	gene flow P2-P3	Simulation	0.01774	0.0025114	0.0369644	0.0032245	TRUE	NA
0.01	1.4	1.2	0.6	NA	gene flow P2-P3	D	0.0243165	0.0065545	0.0366609	0.003849	TRUE	77.2
0.01	1.4	1.2	0.6	NA	gene flow P2-P3	fd	0.0217359	0.0031007	0.0369476	0.003258	TRUE	98.3
0.01	1.4	1.2	0.6	NA	gene flow P2-P3	fG	0.0217406	0.0030836	0.0369471	0.0032622	TRUE	98.4
0.01	1.4	1.2	0.6	NA	gene flow P2-P3	fhom	0.0217494	0.0031084	0.0369461	0.0032641	TRUE	98.3
0.01	1.4	1.2	0.6	NA	gene flow P2-P3	Simulation	0.0215845	0.0026326	0.0369644	0.0032245	TRUE	NA
0.01	1.4	1.2	0.8	NA	gene flow P2-P3	D	0.0291012	0.0058813	0.0365945	0.003786	TRUE	59.4
0.01	1.4	1.2	0.8	NA	gene flow P2-P3	fd	0.026552	0.0040546	0.0368778	0.0033617	TRUE	88.3
0.01	1.4	1.2	0.8	NA	gene flow P2-P3	fG	0.0264905	0.003951	0.0368846	0.0033543	TRUE	88.6
0.01	1.4	1.2	0.8	NA	gene flow P2-P3	fhom	0.0265104	0.0039736	0.0368824	0.0033582	TRUE	88.5
0.01	1.4	1.2	0.8	NA	gene flow P2-P3	Simulation	0.0257721	0.0027887	0.0369644	0.0032245	TRUE	NA
0.01	1.4	1.2	1	NA	gene flow P2-P3	D	0.0331023	0.0046046	0.0365528	0.003682	TRUE	31.4
0.01	1.4	1.2	1	NA	gene flow P2-P3	fd	0.0313594	0.0043446	0.0367465	0.003479	TRUE	57.6
0.01	1.4	1.2	1	NA	gene flow P2-P3	fG	0.0312318	0.0043113	0.0367606	0.0034613	TRUE	59.4
0.01	1.4	1.2	1	NA	gene flow P2-P3	fhom	0.0312449	0.0043105	0.0367592	0.0034638	TRUE	59.2
0.01	1.4	1.2	1	NA	gene flow P2-P3	Simulation	0.0293975	0.0029673	0.0369644	0.0032245	TRUE	NA
0.01	1.4	1.2	0.2	NA	gene flow P3-P2	D	0.0146972	0.0054663	0.0368518	0.0035712	TRUE	94.7
0.01	1.4	1.2	0.2	NA	gene flow P3-P2	fd	0.0136835	0.0022356	0.0369644	0.0032245	TRUE	100
0.01	1.4	1.2	0.2	NA	gene flow P3-P2	fG	0.0136835	0.0022356	0.0369644	0.0032245	TRUE	100
0.01	1.4	1.2	0.2	NA	gene flow P3-P2	fhom	0.0136835	0.0022356	0.0369644	0.0032245	TRUE	100
0.01	1.4	1.2	0.2	NA	gene flow P3-P2	Simulation	0.0136835	0.0022356	0.0369644	0.0032245	TRUE	NA
0.01	1.4	1.2	0.4	NA	gene flow P3-P2	D	0.0189887	0.0056497	0.0368204	0.0035961	TRUE	91.2
0.01	1.4	1.2	0.4	NA	gene flow P3-P2	fd	0.0176919	0.0025658	0.0369644	0.0032245	TRUE	100
0.01	1.4	1.2	0.4	NA	gene flow P3-P2	fG	0.0176919	0.0025658	0.0369644	0.0032245	TRUE	100
0.01	1.4	1.2	0.4	NA	gene flow P3-P2	fhom	0.0176919	0.0025658	0.0369644	0.0032245	TRUE	100
0.01	1.4	1.2	0.4	NA	gene flow P3-P2	Simulation	0.0176919	0.0025658	0.0369644	0.0032245	TRUE	NA
0.01	1.4	1.2	0.6	NA	gene flow P3-P2	D	0.0230683	0.0056724	0.0367813	0.0036101	TRUE	85.7
0.01	1.4	1.2	0.6	NA	gene flow P3-P2	fd	0.0214339	0.0028024	0.0369629	0.0032283	TRUE	99.8
0.01	1.4	1.2	0.6	NA	gene flow P3-P2	fG	0.0214432	0.0028348	0.0369619	0.0032301	TRUE	99.7
0.01	1.4	1.2	0.6	NA	gene flow P3-P2	fhom	0.021434	0.0028025	0.0369629	0.0032283	TRUE	99.8
0.01	1.4	1.2	0.6	NA	gene flow P3-P2	Simulation	0.02142	0.002764	0.0369644	0.0032245	TRUE	NA
0.01	1.4	1.2	0.8	NA	gene flow P3-P2	D	0.0273607	0.0052671	0.036753	0.0035547	TRUE	76.5
0.01	1.4	1.2	0.8	NA	gene flow P3-P2	fd	0.0256003	0.0031755	0.0369486	0.0032464	TRUE	97.2
0.01	1.4	1.2	0.8	NA	gene flow P3-P2	fG	0.0256108	0.0031852	0.0369474	0.0032494	TRUE	97.2
0.01	1.4	1.2	0.8	NA	gene flow P3-P2	fhom	0.0256088	0.003193	0.0369476	0.0032478	TRUE	97.2
0.01	1.4	1.2	0.8	NA	gene flow P3-P2	Simulation	0.0254574	0.0028445	0.0369644	0.0032245	TRUE	NA
0.01	1.4	1.2	1	NA	gene flow P3-P2	D	0.0312345	0.0044818	0.0367585	0.0034415	TRUE	59.4
0.01	1.4	1.2	1	NA	gene flow P3-P2	fd	0.0298754	0.0035821	0.0369095	0.0032791	TRUE	85
0.01	1.4	1.2	1	NA	gene flow P3-P2	fG	0.0298123	0.0035017	0.0369165	0.0032736	TRUE	86.2
0.01	1.4	1.2	1	NA	gene flow P3-P2	fhom	0.029827	0.0035196	0.0369149	0.003275	TRUE	86.3
0.01	1.4	1.2	1	NA	gene flow P3-P2	Simulation	0.0293807	0.0029649	0.0369644	0.0032245	TRUE	NA
0.01	1.4	1.2	NA	1.6	Ancestral structure	D	0.0354394	0.0030597	0.0371061	0.0031971	TRUE	35.3
0.01	1.4	1.2	NA	1.6	Ancestral structure	fd	0.0354345	0.0030271	0.0371067	0.0032003	TRUE	50.6
0.01	1.4	1.2	NA	1.6	Ancestral structure	fG	0.0353942	0.0030334	0.0371111	0.0031972	TRUE	52.5
0.01	1.4	1.2	NA	1.6	Ancestral structure	fhom	0.0353994	0.0030307	0.0371106	0.0031978	TRUE	52.6
0.01	1.4	1.2	NA	1.6	Ancestral structure	Simulation	0.0367144	0.0031974	0.0369644	0.0032245	FALSE	NA
0.01	1.4	1.2	NA	1.8	Ancestral structure	D	0.0356436	0.0029699	0.0371004	0.0032146	TRUE	55.4
0.01	1.4	1.2	NA	1.8	Ancestral structure	fd	0.0358146	0.0029493	0.0370814	0.0032248	TRUE	74.9
0.01	1.4	1.2	NA	1.8	Ancestral structure	fG	0.0359177	0.002963	0.0370699	0.0032277	TRUE	76.8
0.01	1.4	1.2	NA	1.8	Ancestral structure	fhom	0.035924	0.0029688	0.0370692	0.0032273	TRUE	76.7
0.01	1.4	1.2	NA	1.8	Ancestral structure	Simulation	0.036867	0.0031859	0.0369644	0.0032245	FALSE	NA
0.01	1.4	1.2	NA	2	Ancestral structure	D	0.0358746	0.0029662	0.0370559	0.0032184	TRUE	73.4
0.01	1.4	1.2	NA	2	Ancestral structure	fd	0.0363112	0.0030152	0.0370074	0.0032275	TRUE	91.8
0.01	1.4	1.2	NA	2	Ancestral structure	fG	0.0363093	0.0030374	0.0370076	0.0032251	TRUE	91.9
0.01	1.4	1.2	NA	2	Ancestral structure	fhom	0.0363429	0.0030335	0.0370039	0.0032263	TRUE	92.3
0.01	1.4	1.2	NA	2	Ancestral structure	Simulation	0.0366979	0.0031042	0.0369644	0.0032245	FALSE	NA
0.01	1.4	1.2	NA	NA	Null model	D	0.0355696	0.0031198	0.0371332	0.0032005	TRUE	NA
0.01	1.4	1.2	NA	NA	Null model	fd	0.035507	0.003075	0.0371402	0.0032019	TRUE	NA
0.01	1.4	1.2	NA	NA	Null model	fG	0.0354086	0.0029989	0.0371511	0.0032041	TRUE	NA
0.01	1.4	1.2	NA	NA	Null model	fhom	0.0354603	0.0030077	0.0371454	0.0032063	TRUE	NA
0.01	1.4	1.2	NA	NA	Null model	Simulation	NA	NA	NA	NA	NA	NA
0.01	1.6	0.2	NA	1.8	Ancestral structure	D	0.0400379	0.0033334	0.0408136	0.0032835	TRUE	19.9
0.01	1.6	0.2	NA	1.8	Ancestral structure	fd	0.0401185	0.0032544	0.0408047	0.0032942	TRUE	75.6
0.01	1.6	0.2	NA	1.8	Ancestral structure	fG	0.0401788	0.0032701	0.040798	0.0032939	TRUE	80
0.01	1.6	0.2	NA	1.8	Ancestral structure	fhom	0.0402018	0.0032851	0.0407954	0.0032927	TRUE	80
0.01	1.6	0.2	NA	1.8	Ancestral structure	Simulation	0.0407416	0.0033584	0.0407354	0.0032898	FALSE	NA
0.01	1.6	0.2	NA	2	Ancestral structure	D	0.0398981	0.0032887	0.0408346	0.003307	TRUE	36.9
0.01	1.6	0.2	NA	2	Ancestral structure	fd	0.0404517	0.003403	0.040773	0.0033059	FALSE	93.3
0.01	1.6	0.2	NA	2	Ancestral structure	fG	0.0405576	0.0034406	0.0407613	0.0033025	FALSE	95.8
0.01	1.6	0.2	NA	2	Ancestral structure	fhom	0.0405687	0.0034423	0.04076	0.0033024	FALSE	95.9
0.01	1.6	0.2	NA	2	Ancestral structure	Simulation	0.04079	0.0035534	0.0407354	0.0032898	FALSE	NA
0.01	1.6	0.2	NA	NA	Null model	D	0.0403465	0.0033769	0.0407944	0.0032767	TRUE	NA
0.01	1.6	0.2	NA	NA	Null model	fd	0.040198	0.0033706	0.0408109	0.0032747	TRUE	NA
0.01	1.6	0.2	NA	NA	Null model	fG	0.0401398	0.0033448	0.0408174	0.0032764	TRUE	NA
0.01	1.6	0.2	NA	NA	Null model	fhom	0.0401538	0.0033386	0.0408158	0.0032774	TRUE	NA
0.01	1.6	0.2	NA	NA	Null model	Simulation	NA	NA	NA	NA	NA	NA
0.01	1.6	0.4	0.2	NA	gene flow P2-P3	D	0.0354306	0.0109794	0.038408	0.0083871	TRUE	16.6
0.01	1.6	0.4	0.2	NA	gene flow P2-P3	fd	0.0149706	0.0062083	0.0406813	0.0037713	TRUE	95
0.01	1.6	0.4	0.2	NA	gene flow P2-P3	fG	0.0147104	0.0056044	0.0407103	0.0036768	TRUE	96
0.01	1.6	0.4	0.2	NA	gene flow P2-P3	fhom	0.0147454	0.0057104	0.0407064	0.0036862	TRUE	95.9
0.01	1.6	0.4	0.2	NA	gene flow P2-P3	Simulation	0.013731	0.0021291	0.0408191	0.0032749	TRUE	NA
0.01	1.6	0.4	0.2	NA	gene flow P3-P2	D	0.0190181	0.0109885	0.0402423	0.0050673	TRUE	78.9
0.01	1.6	0.4	0.2	NA	gene flow P3-P2	fd	0.0138269	0.0022105	0.0408191	0.0032749	TRUE	100
0.01	1.6	0.4	0.2	NA	gene flow P3-P2	fG	0.0138269	0.0022105	0.0408191	0.0032749	TRUE	100
0.01	1.6	0.4	0.2	NA	gene flow P3-P2	fhom	0.0138269	0.0022105	0.0408191	0.0032749	TRUE	100
0.01	1.6	0.4	0.2	NA	gene flow P3-P2	Simulation	0.0138269	0.0022105	0.0408191	0.0032749	TRUE	NA
0.01	1.6	0.4	NA	1.8	Ancestral structure	D	0.0399263	0.0032164	0.0409097	0.003276	TRUE	19.3
0.01	1.6	0.4	NA	1.8	Ancestral structure	fd	0.0401182	0.0030731	0.0408883	0.0032969	TRUE	72.2
0.01	1.6	0.4	NA	1.8	Ancestral structure	fG	0.0401764	0.0031309	0.0408819	0.0032923	TRUE	76.5
0.01	1.6	0.4	NA	1.8	Ancestral structure	fhom	0.0401912	0.0031371	0.0408802	0.003292	TRUE	76.5
0.01	1.6	0.4	NA	1.8	Ancestral structure	Simulation	0.0407416	0.0033584	0.0408191	0.0032749	FALSE	NA
0.01	1.6	0.4	NA	2	Ancestral structure	D	0.0397534	0.0032289	0.0409343	0.0032908	TRUE	34.9
0.01	1.6	0.4	NA	2	Ancestral structure	fd	0.0404566	0.0033792	0.0408561	0.0032929	FALSE	91.4
0.01	1.6	0.4	NA	2	Ancestral structure	fG	0.0404733	0.0033788	0.0408543	0.0032931	FALSE	93.9
0.01	1.6	0.4	NA	2	Ancestral structure	fhom	0.0404794	0.0033799	0.0408536	0.0032931	FALSE	93.8
0.01	1.6	0.4	NA	2	Ancestral structure	Simulation	0.04079	0.0035534	0.0408191	0.0032749	FALSE	NA
0.01	1.6	0.4	NA	NA	Null model	D	0.0402303	0.0032664	0.0408645	0.0032779	TRUE	NA
0.01	1.6	0.4	NA	NA	Null model	fd	0.0401926	0.0032178	0.0408687	0.0032824	TRUE	NA
0.01	1.6	0.4	NA	NA	Null model	fG	0.0401641	0.0032342	0.0408719	0.0032799	TRUE	NA
0.01	1.6	0.4	NA	NA	Null model	fhom	0.0401971	0.0032273	0.0408682	0.0032815	TRUE	NA
0.01	1.6	0.4	NA	NA	Null model	Simulation	NA	NA	NA	NA	NA	NA
0.01	1.6	0.6	0.2	NA	gene flow P2-P3	D	0.0290816	0.0140172	0.0391322	0.0072873	TRUE	40.7
0.01	1.6	0.6	0.2	NA	gene flow P2-P3	fd	0.0138262	0.0025196	0.0408273	0.0033765	TRUE	99.7
0.01	1.6	0.6	0.2	NA	gene flow P2-P3	fG	0.0137871	0.002301	0.0408316	0.003359	TRUE	99.9
0.01	1.6	0.6	0.2	NA	gene flow P2-P3	fhom	0.0137871	0.002301	0.0408316	0.003359	TRUE	99.9
0.01	1.6	0.6	0.2	NA	gene flow P2-P3	Simulation	0.01377	0.002192	0.0408335	0.0033518	TRUE	NA
0.01	1.6	0.6	0.4	NA	gene flow P2-P3	D	0.0362751	0.0097834	0.0387786	0.0073364	TRUE	16.8
0.01	1.6	0.6	0.4	NA	gene flow P2-P3	fd	0.0202493	0.0076945	0.0405592	0.0041532	TRUE	87.6
0.01	1.6	0.6	0.4	NA	gene flow P2-P3	fG	0.0197238	0.0069344	0.0406176	0.0040096	TRUE	89.9
0.01	1.6	0.6	0.4	NA	gene flow P2-P3	fhom	0.0198312	0.0071045	0.0406057	0.0040384	TRUE	89.4
0.01	1.6	0.6	0.4	NA	gene flow P2-P3	Simulation	0.0177807	0.0024959	0.0408335	0.0033518	TRUE	NA
0.01	1.6	0.6	0.2	NA	gene flow P3-P2	D	0.0181487	0.0104571	0.0403533	0.004824	TRUE	82.7
0.01	1.6	0.6	0.2	NA	gene flow P3-P2	fd	0.0138269	0.0022105	0.0408335	0.0033518	TRUE	100
0.01	1.6	0.6	0.2	NA	gene flow P3-P2	fG	0.0138269	0.0022105	0.0408335	0.0033518	TRUE	100
0.01	1.6	0.6	0.2	NA	gene flow P3-P2	fhom	0.0138269	0.0022105	0.0408335	0.0033518	TRUE	100
0.01	1.6	0.6	0.2	NA	gene flow P3-P2	Simulation	0.0138269	0.0022105	0.0408335	0.0033518	TRUE	NA
0.01	1.6	0.6	0.4	NA	gene flow P3-P2	D	0.022068	0.0096985	0.0403519	0.0046249	TRUE	79.4
0.01	1.6	0.6	0.4	NA	gene flow P3-P2	fd	0.0177334	0.0024451	0.0408335	0.0033518	TRUE	100
0.01	1.6	0.6	0.4	NA	gene flow P3-P2	fG	0.0177334	0.0024451	0.0408335	0.0033518	TRUE	100
0.01	1.6	0.6	0.4	NA	gene flow P3-P2	fhom	0.0177334	0.0024451	0.0408335	0.0033518	TRUE	100
0.01	1.6	0.6	0.4	NA	gene flow P3-P2	Simulation	0.0177334	0.0024451	0.0408335	0.0033518	TRUE	NA
0.01	1.6	0.6	NA	1.8	Ancestral structure	D	0.0401844	0.0033634	0.0408954	0.0033438	TRUE	18.5
0.01	1.6	0.6	NA	1.8	Ancestral structure	fd	0.0400451	0.0031844	0.0409109	0.0033595	TRUE	68.7
0.01	1.6	0.6	NA	1.8	Ancestral structure	fG	0.0400825	0.0032126	0.0409067	0.0033576	TRUE	73.6
0.01	1.6	0.6	NA	1.8	Ancestral structure	fhom	0.0401039	0.0032158	0.0409044	0.0033578	TRUE	73.6
0.01	1.6	0.6	NA	1.8	Ancestral structure	Simulation	0.0407416	0.0033584	0.0408335	0.0033518	FALSE	NA
0.01	1.6	0.6	NA	2	Ancestral structure	D	0.0400037	0.0033845	0.0409209	0.0033586	TRUE	35
0.01	1.6	0.6	NA	2	Ancestral structure	fd	0.0402775	0.0033427	0.0408904	0.0033702	TRUE	89.2
0.01	1.6	0.6	NA	2	Ancestral structure	fG	0.0403371	0.0033718	0.0408838	0.0033681	TRUE	91.6
0.01	1.6	0.6	NA	2	Ancestral structure	fhom	0.0403235	0.003368	0.0408853	0.0033683	TRUE	91.6
0.01	1.6	0.6	NA	2	Ancestral structure	Simulation	0.04079	0.0035534	0.0408335	0.0033518	FALSE	NA
0.01	1.6	0.6	NA	NA	Null model	D	0.04049	0.0033694	0.0408727	0.0033513	TRUE	NA
0.01	1.6	0.6	NA	NA	Null model	fd	0.0401977	0.0033478	0.0409052	0.0033484	TRUE	NA
0.01	1.6	0.6	NA	NA	Null model	fG	0.0400614	0.0033039	0.0409203	0.0033497	TRUE	NA
0.01	1.6	0.6	NA	NA	Null model	fhom	0.0401143	0.0033191	0.0409144	0.0033495	TRUE	NA
0.01	1.6	0.6	NA	NA	Null model	Simulation	NA	NA	NA	NA	NA	NA
0.01	1.6	0.8	0.2	NA	gene flow P2-P3	D	0.0227632	0.0131622	0.0397896	0.0060131	TRUE	64.1
0.01	1.6	0.8	0.2	NA	gene flow P2-P3	fd	0.0138169	0.0022917	0.0407837	0.0033273	TRUE	99.9
0.01	1.6	0.8	0.2	NA	gene flow P2-P3	fG	0.0138174	0.0022928	0.0407836	0.0033276	TRUE	99.9
0.01	1.6	0.8	0.2	NA	gene flow P2-P3	fhom	0.0138169	0.0022917	0.0407837	0.0033273	TRUE	99.9
0.01	1.6	0.8	0.2	NA	gene flow P2-P3	Simulation	0.0138017	0.0022016	0.0407854	0.0033203	TRUE	NA
0.01	1.6	0.8	0.4	NA	gene flow P2-P3	D	0.0291023	0.01206	0.0395252	0.0061412	TRUE	46.5
0.01	1.6	0.8	0.4	NA	gene flow P2-P3	fd	0.0180546	0.0036437	0.0407527	0.0034243	TRUE	98.3
0.01	1.6	0.8	0.4	NA	gene flow P2-P3	fG	0.0179325	0.0032013	0.0407663	0.0033829	TRUE	98.9
0.01	1.6	0.8	0.4	NA	gene flow P2-P3	fhom	0.0179535	0.0032699	0.040764	0.0033914	TRUE	98.8
0.01	1.6	0.8	0.4	NA	gene flow P2-P3	Simulation	0.0177608	0.0024794	0.0407854	0.0033203	TRUE	NA
0.01	1.6	0.8	0.6	NA	gene flow P2-P3	D	0.0357952	0.0088937	0.03919	0.0062708	TRUE	21
0.01	1.6	0.8	0.6	NA	gene flow P2-P3	fd	0.02434	0.007598	0.0404628	0.0041049	TRUE	82.4
0.01	1.6	0.8	0.6	NA	gene flow P2-P3	fG	0.0238673	0.0071341	0.0405153	0.003986	TRUE	85
0.01	1.6	0.8	0.6	NA	gene flow P2-P3	fhom	0.0239575	0.0072652	0.0405053	0.0040014	TRUE	84.6
0.01	1.6	0.8	0.6	NA	gene flow P2-P3	Simulation	0.0214363	0.0026669	0.0407854	0.0033203	TRUE	NA
0.01	1.6	0.8	0.2	NA	gene flow P3-P2	D	0.017021	0.009196	0.0404305	0.0044784	TRUE	86.8
0.01	1.6	0.8	0.2	NA	gene flow P3-P2	fd	0.0138269	0.0022105	0.0407854	0.0033203	TRUE	100
0.01	1.6	0.8	0.2	NA	gene flow P3-P2	fG	0.0138269	0.0022105	0.0407854	0.0033203	TRUE	100
0.01	1.6	0.8	0.2	NA	gene flow P3-P2	fhom	0.0138269	0.0022105	0.0407854	0.0033203	TRUE	100
0.01	1.6	0.8	0.2	NA	gene flow P3-P2	Simulation	0.0138269	0.0022105	0.0407854	0.0033203	TRUE	NA
